"","name","pval","adj_pval","significance"
"ENSMUSG00000056673","Kdm5d",2.25189342011939e-100,2.45129858247097e-96,1
"ENSMUSG00000068457","Uty",1.75750887887716e-100,2.45129858247097e-96,1
"ENSMUSG00000098743","Xist_exon4",7.57302698052264e-98,5.49574567976528e-94,1
"ENSMUSG00000069049","Eif2s3y",3.25291989779735e-97,1.77048297737365e-93,1
"ENSMUSG00000069045","Ddx3y",1.05428246442195e-94,4.59055670658606e-91,1
"ENSMUSG00000086503","Xist",4.00889846155665e-83,1.45462880677583e-79,1
"ENSMUSG00000037369","Kdm6a",4.33690159732406e-73,1.34883835250489e-69,1
"ENSMUSG00000079105","C7",7.9963293750876e-57,2.1761010853129e-53,1
"ENSMUSG00000035150","Eif2s3x",3.30674807759782e-45,7.99902359970913e-42,1
"ENSMUSG00000000394","Gcg",5.83380310682187e-43,1.27007727438619e-39,1
"ENSMUSG00000018339","Gpx3",2.14716808750701e-36,4.24963603937411e-33,1
"ENSMUSG00000004631","Sgce",9.35937957473238e-36,1.69802543934582e-32,1
"ENSMUSG00000026432","Avpr1b",5.65022449519828e-34,9.46238749884321e-31,1
"ENSMUSG00000097571","Jpx",8.36199624556294e-34,1.30035014472965e-30,1
"ENSMUSG00000047904","Sstr2",1.60455817652961e-31,2.32885573741508e-28,1
"ENSMUSG00000000787","Ddx3x",1.88412995842545e-31,2.56371208280503e-28,1
"ENSMUSG00000025332","Kdm5c",2.90290213299169e-31,3.71759307866836e-28,1
"ENSMUSG00000024990","Rbp4",9.78144639813409e-31,1.18306594185432e-27,1
"ENSMUSG00000032017","Grik4",3.95321237478092e-30,4.52975719007134e-27,1
"ENSMUSG00000001504","Irx2",2.15439510218305e-29,2.34516678848135e-26,1
"ENSMUSG00000020354","Sgcd",3.35536855458054e-29,3.3411826094206e-26,1
"ENSMUSG00000047606","Ankrd34c",3.47127113892879e-29,3.3411826094206e-26,1
"ENSMUSG00000098078","Gm26992",3.52979651907004e-29,3.3411826094206e-26,1
"ENSMUSG00000026989","Dapl1",5.87476499022093e-29,5.32914619175416e-26,1
"ENSMUSG00000032523","Hhatl",6.41516799439414e-29,5.58658489623819e-26,1
"ENSMUSG00000036872","Abcc12",2.64393603495849e-28,2.21388966988774e-25,1
"ENSMUSG00000031170","Slc38a5",4.94261444475727e-28,3.98539478062261e-25,1
"ENSMUSG00000026202","Tuba4a",6.17069307581901e-28,4.79793424834485e-25,1
"ENSMUSG00000047793","Sned1",2.35038536881348e-27,1.76449102980822e-24,1
"ENSMUSG00000027748","Trpc4",5.31298819694822e-27,3.85563553452532e-24,1
"ENSMUSG00000007207","Stx1a",6.80922032380124e-27,4.78204953772506e-24,1
"ENSMUSG00000028937","Acot7",1.19796105452491e-26,8.15025316189432e-24,1
"ENSMUSG00000045312","Lhfpl2",2.35123622125216e-26,1.55117465978427e-23,1
"ENSMUSG00000030117","Gdf3",4.89138195570107e-26,3.13206695757553e-23,1
"ENSMUSG00000015405","Ace2",5.22587496790304e-26,3.25064354074906e-23,1
"ENSMUSG00000022425","Enpp2",1.07880769601284e-25,6.52408954163765e-23,1
"ENSMUSG00000029913","Prdm5",1.54183144431597e-25,9.07221956059541e-23,1
"ENSMUSG00000017493","Igfbp4",1.67896618025453e-25,9.37250582315933e-23,1
"ENSMUSG00000079297","Gm2223",1.66761558257645e-25,9.37250582315933e-23,1
"ENSMUSG00000028894","Inpp5b",1.85917073774289e-25,1.01190015328501e-22,1
"ENSMUSG00000021062","Rab15",2.18245317306174e-25,1.15888263489578e-22,1
"ENSMUSG00000092035","Peg10",3.76952152842585e-25,1.95395840941332e-22,1
"ENSMUSG00000027971","Ndst4",5.75491469511578e-25,2.91372669365966e-22,1
"ENSMUSG00000025716","Myo3a",6.82378687969197e-25,3.3763787308585e-22,1
"ENSMUSG00000029534","St7",9.8527852163481e-25,4.76677748766921e-22,1
"ENSMUSG00000018287","Spag7",1.27210080525767e-24,6.0206318763619e-22,1
"ENSMUSG00000059401","Mamld1",2.3476871190882e-24,1.08747864403551e-21,1
"ENSMUSG00000028664","Ephb2",2.69808163666512e-24,1.22374865232992e-21,1
"ENSMUSG00000016349","Eef1a2",3.09330080503397e-24,1.37437248625295e-21,1
"ENSMUSG00000085077","1700049E15Rik",3.17601087514702e-24,1.38289865525652e-21,1
"ENSMUSG00000047261","Gap43",4.00524294009352e-24,1.70976753036816e-21,1
"ENSMUSG00000030102","Itpr1",7.94020848188486e-24,3.32435151652145e-21,1
"ENSMUSG00000038150","Ormdl3",8.75788783316804e-24,3.5975089814321e-21,1
"ENSMUSG00000027359","Slc27a2",9.2214672850573e-24,3.71778822709227e-21,1
"ENSMUSG00000028825","Rhd",1.50996417098978e-23,5.9769872666579e-21,1
"ENSMUSG00000062661","Ncs1",1.82737253953309e-23,7.10423706395979e-21,1
"ENSMUSG00000009734","Pou6f2",2.72720709047753e-23,1.04164957134713e-20,1
"ENSMUSG00000022766","Serpind1",4.23906459953646e-23,1.59118405856049e-20,1
"ENSMUSG00000045534","Kcna5",4.48907748596258e-23,1.65646959232019e-20,1
"ENSMUSG00000021991","Cacna2d3",6.76799276677509e-23,2.45576617542434e-20,1
"ENSMUSG00000022408","Fam83f",7.71878514683323e-23,2.75484707265092e-20,1
"ENSMUSG00000026579","F5",9.12599365968301e-23,3.20454851556385e-20,1
"ENSMUSG00000027895","Kcnc4",1.01762442186403e-22,3.51661925212727e-20,1
"ENSMUSG00000026740","Dnajc1",1.05779828835567e-22,3.59833227121739e-20,1
"ENSMUSG00000021852","Slc35f4",1.11728530510704e-22,3.74221821192082e-20,1
"ENSMUSG00000050379","Sept6",1.43784171274281e-22,4.74291695880662e-20,1
"ENSMUSG00000038718","Pbx3",1.92086076110681e-22,6.24165069105318e-20,1
"ENSMUSG00000019889","Ptprk",2.73978350448023e-22,8.77173921706457e-20,1
"ENSMUSG00000033669","Zfp7",2.93431498008998e-22,9.25840165674479e-20,1
"ENSMUSG00000031066","Usp11",5.82607942723069e-22,1.81199393157485e-19,1
"ENSMUSG00000062157","Ifnlr1",9.32112222703584e-22,2.85817115499714e-19,1
"ENSMUSG00000022012","Enox1",1.29555613556127e-21,3.9174378649034e-19,1
"ENSMUSG00000024187","Itfg3",2.55418812958731e-21,7.61742873551306e-19,1
"ENSMUSG00000024388","Myo7b",2.75185471953769e-21,8.04059871882476e-19,1
"ENSMUSG00000055254","Ntrk2",2.76994581742619e-21,8.04059871882476e-19,1
"ENSMUSG00000025357","Dgka",3.9319463648562e-21,1.12634742512216e-18,1
"ENSMUSG00000002565","Scin",4.61033480634072e-21,1.30352726063433e-18,1
"ENSMUSG00000036752","Tubb4b",5.06188377014838e-21,1.41284963538334e-18,1
"ENSMUSG00000020027","Socs2",5.89031535152164e-21,1.62326652554402e-18,1
"ENSMUSG00000001986","Gria3",6.72584118631359e-21,1.80775664774362e-18,1
"ENSMUSG00000038560","Sp6",6.66815770041084e-21,1.80775664774362e-18,1
"ENSMUSG00000038497","Tmco3",1.47394646020475e-20,3.91332785184361e-18,1
"ENSMUSG00000006800","Sulf2",1.57266950989711e-20,4.12513107228553e-18,1
"ENSMUSG00000040618","Pck2",2.01535291083129e-20,5.20545480889766e-18,1
"ENSMUSG00000079056","Kcnip3",2.0323534001943e-20,5.20545480889766e-18,1
"ENSMUSG00000024867","Pip5k1b",2.21285892952552e-20,5.53748870743679e-18,1
"ENSMUSG00000032121","Tmem218",2.19589968868532e-20,5.53748870743679e-18,1
"ENSMUSG00000034557","Zfyve9",3.09675931169878e-20,7.66131215624934e-18,1
"ENSMUSG00000026971","Itgb6",3.61080235601424e-20,8.70286053540825e-18,1
"ENSMUSG00000033610","Pank1",3.63768457453562e-20,8.70286053540825e-18,1
"ENSMUSG00000034990","Otoa",3.6267368910329e-20,8.70286053540825e-18,1
"ENSMUSG00000040972","Igsf21",4.44696373851703e-20,1.05233529947015e-17,1
"ENSMUSG00000035246","Pcyt1b",4.72219136721806e-20,1.10544976619037e-17,1
